lr-AdamW,step,train/loss,epoch,val/loss,val/CER,val/IER,val/DER,val/SER,train/CER,train/IER,train/DER,train/SER
,2279,,18,1.4458688497543335,56.97829055786133,46.07886505126953,0.24368630349636078,10.65573787689209,,,,
,2279,,18,,,,,,63.28903579711914,50.7359504699707,0.5098745226860046,12.043209075927734
0.001,2289,,,,,,,,,,,
,2289,1.7967119216918945,19,,,,,,,,,
0.001,2299,,,,,,,,,,,
,2299,1.7302074432373047,19,,,,,,,,,
0.001,2309,,,,,,,,,,,
,2309,1.725708246231079,19,,,,,,,,,
0.001,2319,,,,,,,,,,,
,2319,1.7264187335968018,19,,,,,,,,,
0.001,2329,,,,,,,,,,,
,2329,1.5771899223327637,19,,,,,,,,,
0.001,2339,,,,,,,,,,,
,2339,1.6709132194519043,19,,,,,,,,,
,2339,,19,1.3518593311309814,47.38591003417969,31.92290687561035,0.9082853198051453,14.554718971252441,,,,
0.001,2349,,,,,,,,,,,
,2349,1.5401601791381836,19,,,,,,,,,
0.001,2359,,,,,,,,,,,
,2359,1.6287438869476318,19,,,,,,,,,
0.001,2369,,,,,,,,,,,
,2369,1.738193392753601,19,,,,,,,,,
0.001,2379,,,,,,,,,,,
,2379,1.5683530569076538,19,,,,,,,,,
0.001,2389,,,,,,,,,,,
,2389,1.624923825263977,19,,,,,,,,,
0.001,2399,,,,,,,,,,,
,2399,1.5996633768081665,19,,,,,,,,,
,2399,,19,1.3517935276031494,47.762516021728516,31.43553352355957,0.8639787435531616,15.463004112243652,,,,
,2399,,19,,,,,,57.395530700683594,39.63414764404297,1.2043715715408325,16.557010650634766
0.001,2409,,,,,,,,,,,
,2409,1.5126259326934814,20,,,,,,,,,
0.001,2419,,,,,,,,,,,
,2419,1.6763657331466675,20,,,,,,,,,
0.001,2429,,,,,,,,,,,
,2429,1.5298247337341309,20,,,,,,,,,
0.001,2439,,,,,,,,,,,
,2439,1.5728877782821655,20,,,,,,,,,
0.001,2449,,,,,,,,,,,
,2449,1.5642375946044922,20,,,,,,,,,
0.001,2459,,,,,,,,,,,
,2459,1.5339722633361816,20,,,,,,,,,
,2459,,20,1.3151475191116333,45.104122161865234,26.80549430847168,0.9968985319137573,17.301727294921875,,,,
0.001,2469,,,,,,,,,,,
,2469,1.5815253257751465,20,,,,,,,,,
0.001,2479,,,,,,,,,,,
,2479,1.5908312797546387,20,,,,,,,,,
0.001,2489,,,,,,,,,,,
,2489,1.5409941673278809,20,,,,,,,,,
0.001,2499,,,,,,,,,,,
,2499,1.529970645904541,20,,,,,,,,,
0.001,2509,,,,,,,,,,,
,2509,1.6665199995040894,20,,,,,,,,,
0.001,2519,,,,,,,,,,,
,2519,1.5257585048675537,20,,,,,,,,,
,2519,,20,1.2287085056304932,41.33805847167969,22.308374404907227,1.2184315919876099,17.811254501342773,,,,
,2519,,20,,,,,,51.86842727661133,30.079307556152344,1.8670485019683838,19.922069549560547
0.001,2529,,,,,,,,,,,
,2529,1.4650654792785645,21,,,,,,,,,
0.001,2539,,,,,,,,,,,
,2539,1.4197328090667725,21,,,,,,,,,
0.001,2549,,,,,,,,,,,
,2549,1.5733802318572998,21,,,,,,,,,
0.001,2559,,,,,,,,,,,
,2559,1.4487820863723755,21,,,,,,,,,
0.001,2569,,,,,,,,,,,
,2569,1.4795161485671997,21,,,,,,,,,
0.001,2579,,,,,,,,,,,
,2579,1.4225032329559326,21,,,,,,,,,
,2579,,21,1.2141166925430298,38.39167022705078,16.149755477905273,2.0602569580078125,20.181657791137695,,,,
0.001,2589,,,,,,,,,,,
,2589,1.2978922128677368,21,,,,,,,,,
0.001,2599,,,,,,,,,,,
,2599,1.5626603364944458,21,,,,,,,,,
0.001,2609,,,,,,,,,,,
,2609,1.6237459182739258,21,,,,,,,,,
0.001,2619,,,,,,,,,,,
,2619,1.37642502784729,21,,,,,,,,,
0.001,2629,,,,,,,,,,,
,2629,1.449601173400879,21,,,,,,,,,
