lr-AdamW,step,train/loss,epoch,val/loss,val/CER,val/IER,val/DER,val/SER,train/CER,train/IER,train/DER,train/SER
,1559,,12,0.9684620499610901,17.14665412902832,3.677448034286499,1.8165706396102905,11.652636528015137,,,,
,1559,,12,,,,,,8.120439529418945,2.7883517742156982,2.1218409538269043,3.2102463245391846
0.001,1569,,,,,,,,,,,
,1569,0.2357509732246399,13,,,,,,,,,
0.001,1579,,,,,,,,,,,
,1579,0.18468521535396576,13,,,,,,,,,
0.001,1589,,,,,,,,,,,
,1589,0.27197030186653137,13,,,,,,,,,
0.001,1599,,,,,,,,,,,
,1599,0.2749757766723633,13,,,,,,,,,
0.001,1609,,,,,,,,,,,
,1609,0.19975440204143524,13,,,,,,,,,
0.001,1619,,,,,,,,,,,
,1619,0.22231058776378632,13,,,,,,,,,
,1619,,13,0.9114928841590881,15.662384033203125,3.5223748683929443,1.9273371696472168,10.212671279907227,,,,
0.001,1629,,,,,,,,,,,
,1629,0.3006748557090759,13,,,,,,,,,
0.001,1639,,,,,,,,,,,
,1639,0.3024112582206726,13,,,,,,,,,
0.001,1649,,,,,,,,,,,
,1649,0.2731706202030182,13,,,,,,,,,
0.001,1659,,,,,,,,,,,
,1659,0.31503862142562866,13,,,,,,,,,
0.001,1669,,,,,,,,,,,
,1669,0.36869916319847107,13,,,,,,,,,
0.001,1679,,,,,,,,,,,
,1679,0.344946950674057,13,,,,,,,,,
,1679,,13,0.9441309571266174,17.45680046081543,4.541426658630371,1.9716438055038452,10.943730354309082,,,,
,1679,,13,,,,,,8.345744132995605,2.8104143142700195,2.199514627456665,3.3358154296875
0.001,1689,,,,,,,,,,,
,1689,0.23838575184345245,14,,,,,,,,,
0.001,1699,,,,,,,,,,,
,1699,0.28989630937576294,14,,,,,,,,,
0.001,1709,,,,,,,,,,,
,1709,0.4705798029899597,14,,,,,,,,,
0.001,1719,,,,,,,,,,,
,1719,0.3185640573501587,14,,,,,,,,,
0.001,1729,,,,,,,,,,,
,1729,0.27429625391960144,14,,,,,,,,,
0.001,1739,,,,,,,,,,,
,1739,0.2395821362733841,14,,,,,,,,,
,1739,,14,0.9555779695510864,16.991580963134766,3.8768277168273926,1.794417381286621,11.32033634185791,,,,
0.001,1749,,,,,,,,,,,
,1749,0.31660914421081543,14,,,,,,,,,
0.001,1759,,,,,,,,,,,
,1759,0.354574054479599,14,,,,,,,,,
0.001,1769,,,,,,,,,,,
,1769,0.2355276495218277,14,,,,,,,,,
0.001,1779,,,,,,,,,,,
,1779,0.29212087392807007,14,,,,,,,,,
0.001,1789,,,,,,,,,,,
,1789,0.2758301794528961,14,,,,,,,,,
0.001,1799,,,,,,,,,,,
,1799,0.4114868640899658,14,,,,,,,,,
,1799,,14,0.9539594650268555,17.213115692138672,3.721754550933838,1.9716438055038452,11.519716262817383,,,,
,1799,,14,,,,,,8.578901290893555,2.9564003944396973,2.214219093322754,3.4082818031311035
0.001,1809,,,,,,,,,,,
,1809,0.17873969674110413,15,,,,,,,,,
0.001,1819,,,,,,,,,,,
,1819,0.19231268763542175,15,,,,,,,,,
0.001,1829,,,,,,,,,,,
,1829,0.1561848521232605,15,,,,,,,,,
0.001,1839,,,,,,,,,,,
,1839,0.21073110401630402,15,,,,,,,,,
0.001,1849,,,,,,,,,,,
,1849,0.2706749141216278,15,,,,,,,,,
0.001,1859,,,,,,,,,,,
,1859,0.20786438882350922,15,,,,,,,,,
,1859,,15,0.8782780766487122,17.14665412902832,4.962339401245117,1.4178112745285034,10.766504287719727,,,,
0.001,1869,,,,,,,,,,,
,1869,0.24414093792438507,15,,,,,,,,,
0.001,1879,,,,,,,,,,,
,1879,0.21365052461624146,15,,,,,,,,,
0.001,1889,,,,,,,,,,,
,1889,0.20004014670848846,15,,,,,,,,,
0.001,1899,,,,,,,,,,,
,1899,0.18322564661502838,15,,,,,,,,,
0.001,1909,,,,,,,,,,,
